6 6 6
 1
       445
       445
       445
       445
       445
       445
    2
     4
     2
     4
     3
     4
   3.4  49.7    62    23 
  1.1  46.3   705    22 
  3.4  16.5   241    22 
  1.9  38.8   662    22 
  3.2  61.7   550    24 
  2.1  57.0   620    21 
  4.1  68.5   593    25 
  4.4  57.3   811    24 
  3.6  68.1   789    19 
  4.8  27.1   383    20 
  2.3  50.1   243    23 
  2.6  26.8   703    21 
  1.5  41.7   503    18 
  3.4  63.0   928    21 
  2.0  20.2   461    16 
  2.4  20.5   250    18 
  1.3  18.3   105    18 
  3.4  64.9   338    22 
  1.2  46.0    84    23 
  4.7  54.5   712    24 
  2.2  23.0   914    22 
  4.9  31.1   270    18 
  1.5  53.9   486    20 
  3.3  61.6   877    17 
  3.8  59.0    56    25 
  4.9  20.0   895    20 
  4.8  24.8   534    24 
  3.1  37.9   829    20 
  4.9  67.0   344    19 
  1.2  69.9   924    25 
  1.8  30.0   119    20 
  1.3  71.4   395    23 
  3.1  42.4   599    17 
  1.4  16.6   716    19 
  3.6  52.8   824    18 
  1.0  48.1   261    20 
  147   155    16    34   148    24 
  113   160     4   140   179    19 
   60   103   156     5   148    17 
  169   127    11    20    58    62 
   78   149    99    16   108   165 
   17     1    18    97   120    22 
