 CG ITER, OVMR, OVMRUB =           1   96922.4218750   96922.4218750
 CG ITER, OVMR, OVMRUB =           2   95442.8281250   95442.8203125
 CG ITER, OVMR, OVMRUB =           3   94811.7343750   95442.8203125
 CG ITER, OVMR, OVMRUB =           4   92832.9453125   95442.8203125
 CG ITER, OVMR, OVMRUB =           5   93699.7500000   95442.8203125
 CG ITER, OVMR, OVMRUB =           6   95404.9843750   95442.8203125
 CG ITER, OVMR, OVMRUB =           7   94345.3125000   95442.8203125
 CG ITER, OVMR, OVMRUB =           8   90792.9687500   95442.8203125
 CG ITER, OVMR, OVMRUB =           9   87452.8125000   95442.8203125
 CG ITER, OVMR, OVMRUB =          10   86899.9531250   95442.8203125
 CG ITER, OVMR, OVMRUB =          11   85685.4062500   95442.8203125
 CG ITER, OVMR, OVMRUB =          12   83899.9218750   95442.8203125
 CG ITER, OVMR, OVMRUB =          13   82885.9843750   95442.8203125
 CG ITER, OVMR, OVMRUB =          14   82205.9296875   95442.8203125
 CG ITER, OVMR, OVMRUB =          15   81650.6250000   95442.8203125
 CG ITER, OVMR, OVMRUB =          16   81396.6875000   95442.8203125
 CG ITER, OVMR, OVMRUB =          17   81215.3828125   95442.8203125
 CG ITER, OVMR, OVMRUB =          18   80904.3515625   95442.8203125
 CG ITER, OVMR, OVMRUB =          19   80780.8125000   95442.8203125
 CG ITER, OVMR, OVMRUB =          20   80437.5156250   95442.8203125
 CG ITER, OVMR, OVMRUB =          21   80173.3125000   95442.8203125
 CG ITER, OVMR, OVMRUB =          22   80033.9765625   95442.8203125
 CG ITER, OVMR, OVMRUB =          23   79728.5937500   95442.8203125
 CG ITER, OVMR, OVMRUB =          24   79587.3281250   95442.8203125
 CG ITER, OVMR, OVMRUB =          25   79680.8359375   95442.8203125
 CG ITER, OVMR, OVMRUB =          26   79661.9062500   95442.8203125
 CG ITER, OVMR, OVMRUB =          27   79739.2343750   95442.8203125
 CG ITER, OVMR, OVMRUB =          28   79897.1640625   95442.8203125
 CG ITER, OVMR, OVMRUB =          29   79975.8906250   95442.8203125
 CG ITER, OVMR, OVMRUB =          30   80149.8750000   95442.8203125
