6 18 2
 1
      1217
      1217
    2
     3
     3
     4
     3
     3
   2.0  31.2   429    23 
  4.9  62.8   293    18 
  1.5  64.6   929    19 
  1.8  42.0   343    24 
  4.5  26.6   444    22 
  1.5  37.8   494    22 
  2.5  45.3   190    16 
  2.2  61.2   759    20 
  3.9  42.7   136    24 
  2.8  39.0   838    21 
  4.2  46.8   540    24 
  3.9  60.6   873    22 
   36   125   133   158    30   141 
  167   138    59    61   115   105 
   31   153   114   128    26    47 
  141   115   132    47    31     6 
  140    90    64   104    32   165 
   29   114    83   143   124     6 
  145   175     3   168   170    83 
  171   131    95   137    61    34 
    6   111    62     3   120    80 
  148    28    81   163    89    53 
   41   153    20   135   159   164 
   71    74    25    62   132   151 
  175    14    13    55   119   133 
   35   173     6   111    51    61 
   78     8    73    53   166    98 
  154    68   171   175   132   166 
   54   137   115   109    45    12 
  170   155    50   115     0   147 
