6 18 2
 1
       915
       915
    2
     3
     4
     4
     2
     4
   2.5  48.4   819    21 
  4.7  50.2   476    16 
  2.0  37.9   775    24 
  2.7  37.7   815    20 
  3.1  19.9   828    18 
  3.3  62.8   321    18 
  2.0  17.5   137    24 
  1.8  51.2   828    20 
  2.8  59.2   924    15 
  1.5  44.9   306    21 
  1.0  37.1   589    15 
  2.3  29.5   450    18 
   17    66   177   167   141    45 
   76   116    97    75    47   112 
  128     6   122    20    77    81 
   69   166    56   143   140   131 
   32    25   146   125   128    27 
    8    43   132    29   114     2 
  174    66    10   166    19   178 
  101   151   164    68     5   147 
   66    26    37     6   133   166 
  132   148    88   141   114    48 
  142   161    40    72    52   134 
   80    24    16    71    11    91 
   78    76    98   133    95    17 
   97   141    84   136   152   159 
  132   107   157   174    24   170 
   80    43    35    65    61   163 
  142    85   144    29   175    35 
  170    14   167   113   169   133 
