6 18 2
 1
      1016
      1016
    2
     3
     4
     4
     2
     3
   1.8  54.4   717    18 
  2.7  35.4   415    24 
  2.9  40.6   862    23 
  2.4  31.5   467    23 
  3.8  60.6   594    24 
  3.6  74.7   364    21 
  3.4  72.2   228    24 
  2.1  40.5   747    20 
  3.0  43.6   216    24 
  2.8  53.5   838    24 
  2.9  55.4   924    17 
  1.3  41.2   466    24 
   83    34    68    45    63   122 
  176   100    41   179    84   154 
  150    68   132     1    52    69 
   60    37    30   172    50   149 
  103   138   179    70    99     7 
  173   171    36    55   107   160 
   18    23    87   168   116    43 
  119    11    96   105    15   131 
  175   154    17   119   149   128 
   95    65    19    51    11    50 
   94    76    88    85     5   107 
    3   167    60   120   163    20 
  147   122   156    57    93    38 
  155   131   140    71    59   164 
   92   142   170   112    73    45 
  141   109    54   108    83   130 
   44   148    64    86    54    27 
  156   116    77   145   145   105 
