6 12 2
 1
      1297
      1297
    2
     2
     3
     3
     2
     4
   2.9  41.0   645    20 
  3.2  25.4   223    22 
  5.0  28.4   914    22 
  2.0  43.3   824    17 
  4.4  37.7   796    24 
  3.6  18.2   316    22 
  3.1  26.0   359    15 
  3.8  40.3   336    25 
  3.6  17.2   288    23 
  1.5  39.0   243    23 
  4.8  48.7   915    23 
  4.9  22.2   946    15 
  165    11   134   110   139     8 
  136   145    63    40   172   104 
  117    97    37    35     7    63 
  151    17    17    91    24    72 
  120   131   157   119    37    30 
  157    38   132    58    66   128 
   93    85   107    88    31    14 
   66    54    76   164    18    89 
   20   130   147     5    90    79 
   49    16    91   126    35   179 
   45   132    39    60   118   164 
   72    88   137   124   153    10 
