6 12 2
 1
      1128
      1128
    2
     3
     3
     4
     3
     3
   2.0  20.8   429    23 
  4.9  41.9   293    18 
  1.5  43.1   929    19 
  1.8  28.0   343    24 
  4.5  17.7   444    22 
  1.5  25.2   494    22 
  2.5  30.2   190    16 
  2.2  40.8   759    20 
  3.9  28.5   136    24 
  2.8  26.0   838    21 
  4.2  31.2   540    24 
  3.9  40.4   873    22 
   36   175   175   133    13   168 
  167    35   131    59     6   137 
   31    78   111   114    73     3 
  141   154    28   132   171   163 
  140    54   153    64   115   135 
   29   170    74    83    50    62 
  145   125    14     3   158    55 
  171   138   173    95    61   111 
    6   153     8    62   128    53 
  148   115    68    81    47   175 
   41    90   137    20   104   109 
   71   114   155    25   143   115 
