6 12 2
 1
      1207
      1207
    2
     3
     3
     3
     3
     4
   2.3  48.4   595    17 
  2.0  42.2   913    25 
  1.2  14.1   417    16 
  4.5  23.7   439    20 
  2.9  11.0   690    25 
  4.7  10.2   509    15 
  3.7  15.6   252    24 
  2.1  43.9   217    17 
  4.0  26.8   803    17 
  4.3  24.3   130    19 
  1.9  48.8   706    18 
  4.9  23.6   153    16 
   34   170    10    38   107   104 
  100   108    44   143    83    42 
   83   103   115    40   172   142 
   13    57     3   171    87    54 
   42   174    31   118   161   135 
  109    81   118    38     3    19 
   99    71    36    41   163    57 
  106    12   116   137   138    81 
   64   147   116   140   130    63 
   33     3    98    82    44    70 
  146   123    88   153   173   148 
   41    78   141   122   146    24 
