25 12 6
 1
      2060
      2060
      2060
      2060
      2060
      2060
    2
     4
     2
     4
     3
     3
     2
     3
     4
     3
     4
     4
     3
     4
     3
     3
     3
     2
     3
     3
     3
     4
     3
     4
     3
   1.9  17.3   788    20 
  4.3  30.1   746    17 
  4.0  49.2   444    21 
  1.8  22.3   122    19 
  2.0  38.6   166    20 
  1.6  37.4   378    19 
  1.1  20.8   910    24 
  2.7  45.4    64    21 
  2.7  35.2   440    19 
  2.9  49.8    68    20 
  3.2  36.8   532    24 
  2.4  18.8   130    19 
  3.2  20.3   814    19 
  3.6  32.9   638    19 
  2.4  26.8   578    24 
  3.9  21.3   196    22 
  3.3  27.5    99    18 
  3.9  30.2   454    22 
  1.1  28.8   944    16 
  4.6  22.5   520    17 
  3.5  19.5   190    22 
  3.6  20.0   651    23 
  3.2  16.1   159    18 
  5.0  39.7   577    19 
  4.6  40.2   652    24 
  2.2  45.1   276    17 
  3.5  42.5   759    24 
  3.4  36.5   852    22 
  4.2  32.5   833    15 
  2.9  17.3   355    20 
  4.8  46.8   846    21 
  4.6  11.1    78    19 
  3.9  40.7   125    20 
  4.1  36.1   455    16 
  1.5  35.4   480    17 
  4.1  33.0   201    19 
  1.8  22.7   533    17 
  1.6  41.4   798    20 
  2.2  18.6   224    23 
  2.5  28.7   896    16 
  3.6  18.1   333    20 
  4.7  35.8   698    21 
  3.2  13.4   801    20 
  4.4  42.9   602    17 
  4.4  12.8   694    23 
  4.1  36.2   747    21 
  4.9  22.3   179    20 
  4.0  39.0   604    21 
  1.9  40.0   319    23 
  1.6  49.7    59    17 
  2.3  43.0   381    21 
  3.3  12.5   538    23 
  2.7  21.7   932    17 
  1.6  43.4   589    17 
  1.9  37.3   458    23 
  1.8  27.8   949    17 
  1.0  29.0   845    18 
  2.9  46.7   291    18 
  2.9  32.5   108    18 
  3.8  35.2   200    18 
  3.6  30.8   230    16 
  3.2  40.9   509    16 
  4.0  10.8   933    17 
  3.2  16.2   858    21 
  4.8  27.6   849    21 
  3.2  13.2   787    25 
  2.0  22.3    72    24 
  4.0  25.6   529    16 
  1.5  44.4   813    18 
  1.7  19.2   469    22 
  3.6  17.5   773    19 
  4.6  43.6   826    19 
  4.4  43.4   703    19 
  3.6  12.9   490    19 
  4.0  31.5   639    21 
  5.0  27.0    73    22 
  2.6  16.9   165    15 
  3.9  34.2   494    22 
  3.3  26.2   721    23 
  4.1  43.5   390    16 
  2.0  32.2   676    17 
  4.2  28.5   890    18 
  4.2  20.5   562    17 
  1.3  30.8   648    17 
  1.1  25.0   358    15 
  1.5  23.8   416    24 
  2.2  14.3   756    24 
  3.4  47.8   661    15 
  4.9  23.7   489    24 
  3.4  23.0   231    16 
  4.6  14.7   178    18 
  4.8  18.9   253    18 
  4.3  23.4   409    21 
  1.9  14.9   656    23 
  4.8  39.4   740    18 
  3.9  38.7   480    24 
  2.2  15.6   920    19 
  1.4  38.4   789    22 
  2.6  14.0    71    20 
  4.0  12.8   942    16 
  4.3  30.8    69    17 
  2.1  32.2    94    24 
  2.6  45.4   818    17 
  4.5  31.3   510    22 
  3.6  37.7   358    25 
  3.4  49.7   174    24 
  1.4  19.2   342    20 
  2.0  27.2   828    18 
  2.3  41.9   756    19 
  2.5  15.5   342    16 
  4.8  45.9   442    23 
  1.9  33.5   275    19 
  1.4  38.3   839    17 
  3.2  44.5   860    24 
  4.3  35.4   245    19 
  1.1  23.5   938    19 
  2.9  22.8   862    17 
  3.8  25.4   192    21 
  4.9  13.5   355    20 
  3.7  36.2   893    24 
  4.7  22.3   206    20 
  1.7  17.8   229    22 
  4.8  27.6   931    16 
  4.9  11.8   842    20 
  3.7  32.6   500    21 
  2.6  10.6   665    25 
  1.4  34.8   239    22 
  2.9  23.9   325    18 
  2.1  43.7   222    20 
  2.7  47.7   702    23 
  1.4  32.6   734    21 
  1.8  12.2   565    22 
  4.2  24.5    79    20 
  2.3  33.9   663    24 
  1.3  48.6   227    25 
  3.9  27.6   492    17 
  2.6  18.2   448    20 
