 CG ITER, OVMR, OVMRUB =           1   61635.9882812   61635.9882812
 CG ITER, OVMR, OVMRUB =           2   61384.9140625   61384.9140625
 CG ITER, OVMR, OVMRUB =           3   61384.9101562   61384.9140625
 CG ITER, OVMR, OVMRUB =           4   61384.7265625   61384.9140625
 CG ITER, OVMR, OVMRUB =           5   58958.2148438   61384.9140625
 CG ITER, OVMR, OVMRUB =           6   58799.3242188   61384.9140625
 CG ITER, OVMR, OVMRUB =           7   58880.3437500   61384.9140625
 CG ITER, OVMR, OVMRUB =           8   58688.5898438   61384.9140625
 CG ITER, OVMR, OVMRUB =           9   58302.2539062   61384.9140625
 CG ITER, OVMR, OVMRUB =          10   58152.9218750   61384.9140625
 CG ITER, OVMR, OVMRUB =          11   58174.0234375   61384.9140625
 CG ITER, OVMR, OVMRUB =          12   58205.2734375   61384.9140625
 CG ITER, OVMR, OVMRUB =          13   58119.0156250   61384.9140625
 CG ITER, OVMR, OVMRUB =          14   58078.6718750   61384.9140625
 CG ITER, OVMR, OVMRUB =          15   58017.4453125   61384.9140625
 CG ITER, OVMR, OVMRUB =          16   57946.2890625   61384.9140625
 CG ITER, OVMR, OVMRUB =          17   57955.7773438   61384.9140625
 CG ITER, OVMR, OVMRUB =          18   57872.8906250   61384.9140625
 CG ITER, OVMR, OVMRUB =          19   57749.0625000   61384.9140625
 CG ITER, OVMR, OVMRUB =          20   57613.0546875   61384.9140625
 CG ITER, OVMR, OVMRUB =          21   57531.7187500   61384.9140625
 CG ITER, OVMR, OVMRUB =          22   57453.2070312   61384.9140625
 CG ITER, OVMR, OVMRUB =          23   57379.9960938   61384.9140625
 CG ITER, OVMR, OVMRUB =          24   57294.1718750   61384.9140625
 CG ITER, OVMR, OVMRUB =          25   57230.0390625   61384.9140625
 CG ITER, OVMR, OVMRUB =          26   57164.0468750   61384.9140625
 CG ITER, OVMR, OVMRUB =          27   57121.0039062   61384.9140625
 CG ITER, OVMR, OVMRUB =          28   57031.3710938   61384.9140625
 CG ITER, OVMR, OVMRUB =          29   56974.1601562   61384.9140625
 CG ITER, OVMR, OVMRUB =          30   56919.1171875   61384.9140625
 CG ITER, OVMR, OVMRUB =          31   56877.2421875   61384.9140625
 CG ITER, OVMR, OVMRUB =          32   56829.9335938   61384.9140625
 CG ITER, OVMR, OVMRUB =          33   56766.6015625   61384.9140625
 CG ITER, OVMR, OVMRUB =          34   56723.0117188   61384.9140625
 CG ITER, OVMR, OVMRUB =          35   56681.1835938   61384.9140625
 CG ITER, OVMR, OVMRUB =          36   56648.2968750   61384.9140625
 CG ITER, OVMR, OVMRUB =          37   56598.2617188   61384.9140625
 CG ITER, OVMR, OVMRUB =          38   56571.1640625   61384.9140625
 CG ITER, OVMR, OVMRUB =          39   56526.4960938   61384.9140625
 CG ITER, OVMR, OVMRUB =          40   56485.2578125   61384.9140625
 CG ITER, OVMR, OVMRUB =          41   56443.1835938   61384.9140625
 CG ITER, OVMR, OVMRUB =          42   56406.3750000   61384.9140625
 CG ITER, OVMR, OVMRUB =          43   56374.4218750   61384.9140625
 CG ITER, OVMR, OVMRUB =          44   56339.2812500   61384.9140625
 CG ITER, OVMR, OVMRUB =          45   56303.2968750   61384.9140625
 CG ITER, OVMR, OVMRUB =          46   56268.3945312   61384.9140625
 CG ITER, OVMR, OVMRUB =          47   56238.1367188   61384.9140625
