6 12 2
 1
      1261
      1261
    2
     3
     2
     3
     4
     3
   4.3  23.2    62    23 
  4.8  71.4   773    20 
  3.4  74.6   119    20 
  3.0  37.2   811    24 
  2.4  29.6   539    22 
  2.5  59.4   666    15 
  2.8  55.6   593    25 
  3.1  25.8   923    15 
  3.7  55.8   696    24 
  2.0  28.3   928    21 
  3.2  66.9   734    24 
  3.9  70.1   376    17 
   99   101   107     3   110    39 
  151   114   104    93     4    71 
   38   112   140   153   117   172 
   48   130   160   126   159    36 
   11   118    23   108    45    60 
   86    57    80   144    15    16 
   87    31     8   167    56   173 
   73   165    93   118    23    48 
   58   175   125   177   170    94 
   56   174   131    14    29    68 
  154    92    34    15    94    20 
  148    42    44   169    82     4 
