6 12 2
 1
      1086
      1086
    2
     3
     3
     3
     3
     4
   2.3  72.6   595    17 
  2.0  63.2   913    25 
  1.2  21.2   417    16 
  4.5  35.6   439    20 
  2.9  16.5   690    25 
  4.7  15.3   509    15 
  3.7  23.5   252    24 
  2.1  65.8   217    17 
  4.0  40.2   803    17 
  4.3  36.4   130    19 
  1.9  73.2   706    18 
  4.9  35.4   153    16 
   34   170    10    38   107   104 
  100   108    44   143    83    42 
   83   103   115    40   172   142 
   13    57     3   171    87    54 
   42   174    31   118   161   135 
  109    81   118    38     3    19 
   99    71    36    41   163    57 
  106    12   116   137   138    81 
   64   147   116   140   130    63 
   33     3    98    82    44    70 
  146   123    88   153   173   148 
   41    78   141   122   146    24 
