6 6 4
 1
       590
       590
       590
       590
    2
     3
     4
     3
     3
     3
   4.7  60.7   645    20 
  1.5  31.5   640    21 
  3.9  27.8   175    17 
  4.0  36.2   946    15 
  4.3  45.4   945    23 
  3.7  34.6   674    24 
  3.6  65.4   359    15 
  2.0  39.3   728    25 
  2.9  33.0   796    24 
  1.8  20.7   748    20 
  1.9  60.8   633    20 
  3.0  70.0   920    24 
  3.7  67.5   678    16 
  1.3  63.6   326    18 
  3.9  20.4   915    23 
  4.5  59.0   410    20 
  3.5  28.6   276    17 
  1.1  57.2   235    22 
  3.1  37.2   948    17 
  3.2  20.9   824    17 
  4.0  44.4   653    24 
  3.4  40.5   396    21 
  1.8  45.5   173    23 
  2.3  56.5   323    25 
  139    31     8    14   101    36 
  172    18   104    89   146    12 
    7    90    63    79   107   172 
   24    35    72   179    19   143 
   37   118    30   164   148    39 
   66   153   128    10   161    90 
